Sample,Label,Marker,Size,Color,Alpha,Ca,Mg,Na,K,HCO3,CO3,Cl,SO4
M-33212,ABA,o,10,red,0.6,9,4,14,2.4,87,0,0.5,0.3
M-33625,ABA,o,10,red,0.6,6,1,42.213,1.613,124,0,0.5,0.5
M-33210,Pozo,o,10,blue,0.6,6,3,10.1,2,50,0,0.5,1.1
M-33221,Pozo profundo,o,10,green,0.6,12,4,10.8,3.8,77,0,1.6,0.6
M-33128,Pozo profundo,o,10,green,0.6,10,7,3.5,3.5,71,0,2.8,1
M-33216,Pozo profundo,o,10,green,0.6,9,2,7.1,3.1,54,0,1.6,1.8
M-33237,Pozo profundo,o,10,green,0.6,1,1,0.8,0.5,0,0,1.1,0.2
M-33243,Pozo profundo,o,10,green,0.6,9,5,8.1,4.6,74,0,0.3,0.2
M-33595,Pozo profundo,o,10,green,0.6,8,4,7.997,4.8954,63,0,0.2,0.5
M-33222,Pozo,o,10,blue,0.6,13,8,10.6,5.6,108,0,0.3,0.7
M-33364,Pozo,o,10,blue,0.6,13,4,10.3,4.3,79,0,0.3,0.2
M-33365,Pozo,o,10,blue,0.6,21,8,11.7,4.2,95,0,2,16.9
M-33616,Pozo,o,10,blue,0.6,11,5,8.9579,4.2105,74,0,0.237,0.39
M-33122,Pozo,o,10,blue,0.6,7,5,8.5,3.4,63,0,0.2,0.8
M-33130,Pozo,o,10,blue,0.6,2,2,7,1.2,24,0,2.8,0.4
M-33127,Pozo,o,10,blue,0.6,10,7,4.9,2.1,57,0,13.6,0.1
M-33098,Pozo,o,10,blue,0.6,3,2,4.2,1.9,36,0,1.4,0.3
M-33369,Pozo,o,10,blue,0.6,32,6,5.5,3,117,0,3.4,0.4
M-33208,Aljibe,o,10,black,0.6,20,5,8.7,3.9,86,0,4.7,2.8
M-33370,Aljibe,o,10,black,0.6,100,8,11.2,2.3,311,0,11.6,0.1
M-33119,Aljibe,o,10,black,0.6,21,7,7.3,2.1,88,0,3.8,4.9
M-33117,Aljibe,o,10,black,0.6,62,8,5.9,3,216,0,3.4,1.5
M-33367,Aljibe,o,10,black,0.6,8,2,4.1,2.9,23,0,12.2,0.4
M-33118,Aljibe,o,10,black,0.6,24,8,5.8,2.7,108,0,3.8,0.05
M-33134,Aljibe,o,10,black,0.6,9,1,3.7,1.1,24,0,4.3,0.9
M-33430,Aljibe,o,10,black,0.6,3,2,22.5,2.2,3,0,20.6,1.4
M-33125,Aljibe,o,10,black,0.6,7,2,3.9,1.9,20,0,8.9,3.2
M-33126,Aljibe,o,10,black,0.6,221,17,13.4,1.4,593,0,2.9,111
M-33097,Aljibe,o,10,black,0.6,2,0.5,10.4,0.4,35,0,0.8,1.6
